P1527,2019-05-11,음성 녹음,796230
P1527,2019-05-11,컬러노트,2834862
P1527,2019-05-11,전화,22345884
P1527,2019-05-11,메시지,7146966
P1527,2019-05-11,빅스비 보이스,422
P1527,2019-05-11,갤러리,146502
P1527,2019-05-11,접근성,639601
P1527,2019-05-11,시계,4462328
P1527,2019-05-11,원스토어 서비스,1208
P1527,2019-05-11,Google Play 스토어,520020
P1527,2019-05-11,안드로이드 시스템,503532
P1527,2019-05-11,Adobe Acrobat,5480916
P1527,2019-05-11,ABC Logger,404802
P1527,2019-05-11,Dropsync,126084
P1527,2019-05-12,카톡 프리뷰,144622891
P1527,2019-05-12,전화,106501007
P1527,2019-05-12,Samsung Music,7453873
P1527,2019-05-12,카카오톡,267312398
P1527,2019-05-12,ABC Logger,1299132
P1527,2019-05-12,음성 녹음,247179
P1527,2019-05-12,Polar Beat,4895927
P1527,2019-05-12,Gmail,13325580
P1527,2019-05-12,갤러리,9448530
P1527,2019-05-12,컬러노트,37132933
P1527,2019-05-12,Paco,18141067
P1527,2019-05-12,다방,16299318
P1527,2019-05-12,패키지 설치 프로그램,266784
P1527,2019-05-12,Samsung Experience 홈,109402489
P1527,2019-05-12,Logger,3033624
P1527,2019-05-12,설정,13942228
P1527,2019-05-12,원터치개인,14287490
P1527,2019-05-12,YouTube,1177708612
P1527,2019-05-12,직방,22460325
P1527,2019-05-12,Chrome,309563722
P1527,2019-05-12,Dropsync,147098
P1527,2019-05-12,빅스비 보이스,360
P1527,2019-05-12,Google Play 스토어,8560
P1527,2019-05-12,안드로이드 시스템,9456
P1527,2019-05-12,메시지,4653406
P1527,2019-05-12,접근성,651027
P1527,2019-05-12,시계,77952
P1527,2019-05-12,Adobe Acrobat,102928
P1527,2019-05-12,Puffin,104972
P1527,2019-05-12,날씨,1128168
P1527,2019-05-12,SNOW,1661709
P1527,2019-05-13,카톡 프리뷰,86501018
P1527,2019-05-13,Paco,20706208
P1527,2019-05-13,Chrome,447069239
P1527,2019-05-13,Samsung Experience 홈,123771405
P1527,2019-05-13,YouTube,2576680070
P1527,2019-05-13,날씨,5283554
P1527,2019-05-13,갤러리,26377593
P1527,2019-05-13,카카오톡,163641462
P1527,2019-05-13,Logger,1246612
P1527,2019-05-13,설정,2254840
P1527,2019-05-13,Polar Beat,7011236
P1527,2019-05-13,Gmail,2184146
P1527,2019-05-13,Samsung Music,4474578
P1527,2019-05-13,패키지 설치 프로그램,362150
P1527,2019-05-13,시계,24594238
P1527,2019-05-13,직방,5334769
P1527,2019-05-13,다방,10592945
P1527,2019-05-13,원터치개인,14481826
P1527,2019-05-13,Puffin,75632
P1527,2019-05-13,컬러노트,9411030
P1527,2019-05-13,전화,47875390
P1527,2019-05-13,접근성,1498792
P1527,2019-05-13,카메라,1025616
P1527,2019-05-13,SNOW,41804
P1527,2019-05-13,음성 녹음,386017
P1527,2019-05-13,메시지,36110379
P1527,2019-05-13,Google Play 서비스,135540
P1527,2019-05-13,연락처,5718475
P1527,2019-05-13,안드로이드 시스템,225386
P1527,2019-05-14,Paco,15844466
P1527,2019-05-14,Samsung Experience 홈,53570578
P1527,2019-05-14,카톡 프리뷰,107448128
P1527,2019-05-14,Google Play 서비스,222129
P1527,2019-05-14,설정,2568955
P1527,2019-05-14,카카오톡,245162402
P1527,2019-05-14,카메라,10265436
P1527,2019-05-14,YouTube,911223021
P1527,2019-05-14,컬러노트,710647
P1527,2019-05-14,Polar Beat,3936238
P1527,2019-05-14,Samsung Music,10065241
P1527,2019-05-14,Chrome,370078852
P1527,2019-05-14,Logger,1263343
P1527,2019-05-14,직방,10484070
P1527,2019-05-14,다방,5542216
P1527,2019-05-14,갤러리,1805380
P1527,2019-05-14,시계,33772637
P1527,2019-05-14,음성 녹음,242985
P1527,2019-05-14,날씨,2981586
P1527,2019-05-14,원터치개인,2742768
P1527,2019-05-14,안드로이드 시스템,156029
P1527,2019-05-14,전화,15831748
P1527,2019-05-14,Gmail,2325841
P1527,2019-05-14,Adobe Acrobat,642873
P1527,2019-05-14,메시지,9297628
P1527,2019-05-14,접근성,182323
P1527,2019-05-14,패키지 설치 프로그램,50010
P1527,2019-05-14,연락처,98031
P1527,2019-05-14,빅스비 보이스,112
P0708,2019-05-08,직방,61387686
P0708,2019-05-08,캘린더,1405524
P0708,2019-05-08,ABC Logger,7556598
P0708,2019-05-08,Puffin,100738350
P0708,2019-05-08,Polar Beat,67664414
P0708,2019-05-08,Google Play 스토어,13919634
P0708,2019-05-08,카톡 프리뷰,118344970
P0708,2019-05-08,Gmail,34602022
P0708,2019-05-08,빅스비 보이스,5124
P0708,2019-05-08,Microsoft Health,25675380
P0708,2019-05-08,Dropsync,22132762
P0708,2019-05-08,접근성,5962578
P0708,2019-05-08,Samsung Music,3567432
P0708,2019-05-08,Paco,73392798
P0708,2019-05-08,시계,26070402
P0708,2019-05-08,다방,18314142
P0708,2019-05-08,Chrome,864740254
P0708,2019-05-08,패키지 설치 프로그램,3437886
P0708,2019-05-08,Google Play 서비스,2097936
P0708,2019-05-08,에브리타임,624690
P0708,2019-05-08,내 파일,3815208
P0708,2019-05-08,Samsung Experience 홈,271589552
P0708,2019-05-08,Logger,18132386
P0708,2019-05-08,설정,28952854
P0708,2019-05-08,디바이스 케어,18612622
P0708,2019-05-08,카카오톡,502881960
P0708,2019-05-08,원터치개인,40031674
P0708,2019-05-08,카메라,14512972
P0708,2019-05-08,YouTube,142726322
P0708,2019-05-08,전화,81837332
P0708,2019-05-08,MTP 애플리케이션,7152
P0708,2019-05-08,안드로이드 시스템,31460
P0708,2019-05-08,러브데이,10704
P0708,2019-05-08,메시지,99558950
P0708,2019-05-08,갤러리,76084
P0708,2019-05-08,연락처,3059042
P0708,2019-05-08,음성 녹음,1816354
P0708,2019-05-08,한컴오피스 viewer,4560882
P0708,2019-05-08,SNOW,46045292
P0708,2019-05-08,Messenger,594032
P0708,2019-05-07,MTP 애플리케이션,89400
P0708,2019-05-07,안드로이드 시스템,393250
P0708,2019-05-07,러브데이,133800
P0708,2019-05-07,메시지,10476300
P0708,2019-05-07,갤러리,951050
P0708,2019-05-07,전화,59365135
P0708,2019-05-07,연락처,166550
P0708,2019-05-09,Polar Beat,116118642
P0708,2019-05-09,카톡 프리뷰,198795164
P0708,2019-05-09,Samsung Music,13581840
P0708,2019-05-09,Chrome,1287849356
P0708,2019-05-09,Google Play 서비스,735156
P0708,2019-05-09,Samsung Experience 홈,324929960
P0708,2019-05-09,Logger,32274120
P0708,2019-05-09,설정,11058318
P0708,2019-05-09,디바이스 케어,12132120
P0708,2019-05-09,카카오톡,1088908694
P0708,2019-05-09,캘린더,595432
P0708,2019-05-09,YouTube,906198472
P0708,2019-05-09,Gmail,14981796
P0708,2019-05-09,원터치개인,29423456
P0708,2019-05-09,카메라,18054810
P0708,2019-05-09,Dropsync,32089312
P0708,2019-05-09,빅스비 보이스,37536
P0708,2019-05-09,시계,34311624
P0708,2019-05-09,직방,68112538
P0708,2019-05-09,다방,15472416
P0708,2019-05-09,음성 녹음,1039860
P0708,2019-05-09,전화,67514240
P0708,2019-05-09,메시지,169643252
P0708,2019-05-09,에브리타임,115020
P0708,2019-05-09,Google,342884
P0708,2019-05-09,Paco,84171132
P0708,2019-05-09,접근성,182808
P0708,2019-05-09,패키지 설치 프로그램,122754
P0708,2019-05-09,SNOW,616406
P0708,2019-05-09,한컴오피스 viewer,64206
P0708,2019-05-09,Messenger,6576
P0708,2019-05-09,연락처,54066
P0708,2019-05-09,갤러리,6815224
P0708,2019-05-09,Puffin,379708
P0708,2019-05-09,안드로이드 시스템,354300
P0708,2019-05-09,Adobe Acrobat,3993942
P0708,2019-05-09,시스템 UI,338954
P0708,2019-05-10,카톡 프리뷰,158133698
P0708,2019-05-10,접근성,3150132
P0708,2019-05-10,Samsung Music,20257694
P0708,2019-05-10,패키지 설치 프로그램,422816
P0708,2019-05-10,Google Play 서비스,360944
P0708,2019-05-10,Samsung Experience 홈,145748662
P0708,2019-05-10,Logger,4312584
P0708,2019-05-10,설정,14038210
P0708,2019-05-10,카카오톡,584072480
P0708,2019-05-10,Polar Beat,30809586
P0708,2019-05-10,YouTube,1910070400
P0708,2019-05-10,직방,79768892
P0708,2019-05-10,Puffin,767970
P0708,2019-05-10,SNOW,1211546
P0708,2019-05-10,Gmail,11535970
P0708,2019-05-10,빅스비 보이스,68290
P0708,2019-05-10,시계,107417838
P0708,2019-05-10,Chrome,916012764
P0708,2019-05-10,시스템 UI,596750
P0708,2019-05-10,카메라,4819260
P0708,2019-05-10,전화,1363014786
P0708,2019-05-10,안드로이드 시스템,2053992
P0708,2019-05-10,메시지,178309552
P0708,2019-05-10,다방,74131744
P0708,2019-05-10,원터치개인,26115790
P0708,2019-05-10,Paco,19627376
P0708,2019-05-10,음성 녹음,2615954
P0708,2019-05-10,갤러리,4524122
P0708,2019-05-10,Adobe Acrobat,62082
P0708,2019-05-10,원스토어,301148
P0708,2019-05-10,원스토어 서비스,338240
P0708,2019-05-10,컬러노트,3391894
P0708,2019-05-11,카톡 프리뷰,326671338
P0708,2019-05-11,Chrome,967269796
P0708,2019-05-11,패키지 설치 프로그램,746840
P0708,2019-05-11,Samsung Experience 홈,146311200
P0708,2019-05-11,Logger,12484280
P0708,2019-05-11,카카오톡,759333300
P0708,2019-05-11,카메라,16676550
P0708,2019-05-11,Polar Beat,33650988
P0708,2019-05-11,Gmail,24800502
P0708,2019-05-11,Samsung Music,13316792
P0708,2019-05-11,Paco,34369128
P0708,2019-05-11,원터치개인,104182772
P0708,2019-05-11,YouTube,2231713666
P0708,2019-05-11,설정,17762572
P0708,2019-05-11,원스토어,236344
P0708,2019-05-11,Puffin,338198
P0708,2019-05-11,다방,47532380
P0708,2019-05-11,직방,117730124
P0708,2019-05-11,음성 녹음,1592460
P0708,2019-05-11,컬러노트,5669724
P0708,2019-05-11,전화,44691768
P0708,2019-05-11,메시지,14293932
P0708,2019-05-11,빅스비 보이스,844
P0708,2019-05-11,갤러리,293004
P0708,2019-05-11,접근성,1279202
P0708,2019-05-11,시계,8924656
P0708,2019-05-11,원스토어 서비스,2416
P0708,2019-05-11,Google Play 스토어,1040040
P0708,2019-05-11,안드로이드 시스템,1007064
P0708,2019-05-11,Adobe Acrobat,10961832
P0708,2019-05-11,ABC Logger,809604
P0708,2019-05-11,Dropsync,252168
P0708,2019-05-12,카톡 프리뷰,289245782
P0708,2019-05-12,전화,213002014
P0708,2019-05-12,Samsung Music,14907746
P0708,2019-05-12,카카오톡,534624796
P0708,2019-05-12,ABC Logger,2607678
P0708,2019-05-12,음성 녹음,494358
P0708,2019-05-12,Polar Beat,9791854
P0708,2019-05-12,Gmail,26651160
P0708,2019-05-12,갤러리,18897060
