,UID,timestamp,ESM,app_usage,walking,running,bicycle,sleeptime,d_state
0,701,2019-05-08,3.3846153846153846,3.341666666666668,0.5186111111111111,0.0,0.3452777777777778,07:08:31.314000,Excited
1,701,2019-05-09,2.923076923076924,2.1947222222222242,0.8511111111111109,0.1288888888888889,0.4019444444444445,12:42:34.573000,Excited
2,701,2019-05-10,3.8461538461538463,3.776388888888889,1.4497222222222217,0.028333333333333325,0.5202777777777777,07:45:05.992000,Excited
3,701,2019-05-11,2.769230769230769,4.7247222222222245,0.6291666666666667,0.0375,0.1288888888888889,09:28:44.336000,Excited
4,701,2019-05-12,4.181818181818182,2.98527777777778,1.492222222222222,0.015833333333333338,0.5744444444444444,13:52:26.611000,Excited
5,701,2019-05-13,5.533333333333332,2.8547222222222217,0.8383333333333334,0.04416666666666667,0.0,14:33:06.178000,Excited
6,701,2019-05-14,4.25,4.1525,2.0072222222222225,0.05333333333333333,0.2025,15:58:08.380000,Excited
7,702,2019-05-09,-0.7,3.7027777777777793,1.193055555555556,0.0,0.16194444444444445,08:44:16.453000,Neutral
8,702,2019-05-10,0.8,5.720833333333338,1.0522222222222222,0.0,0.5175,07:53:41.809000,Neutral
9,702,2019-05-11,-2.333333333333333,2.230555555555556,2.6766666666666663,0.0,0.3077777777777778,13:26:32.512000,level1
10,702,2019-05-12,-1.4444444444444444,7.4016666666666735,2.4572222222222218,0.0,0.7791666666666667,08:06:37.481000,level1
11,702,2019-05-13,-1.2,3.316944444444444,1.8627777777777768,0.05972222222222224,0.9716666666666666,06:44:18.293000,level1
12,702,2019-05-14,-1.7777777777777777,3.618055555555556,1.9252777777777783,0.17472222222222222,1.2580555555555557,09:33:37.779000,level1
13,703,2019-05-09,4.4,6.174722222222222,2.549722222222222,0.0,0.1461111111111111,06:30:38.158000,Excited
14,703,2019-05-10,2.3846153846153846,2.8888888888888893,1.3316666666666668,0.0,0.07111111111111111,07:57:37.519000,Excited
15,703,2019-05-11,2.5555555555555562,3.417777777777777,2.8425,0.0,0.0,06:58:44.210000,Excited
16,703,2019-05-12,0.09090909090909093,3.618333333333333,2.5913888888888894,0.0,0.0,09:09:03.222000,Neutral
17,703,2019-05-13,-6.833333333333332,4.67027777777778,2.0283333333333333,0.0,0.12583333333333332,12:23:38.945000,level3
18,703,2019-05-14,-2.75,10.203055555555554,1.2611111111111108,0.0,0.0,13:32:19.386000,level1
19,704,2019-05-08,-1.0,6.401666666666667,1.3250000000000002,0.0,0.5355555555555556,03:02:59.923000,level1
20,704,2019-05-09,1.625,5.0955555555555545,2.889166666666666,0.07166666666666667,0.2327777777777777,06:29:47.686000,Excited
21,704,2019-05-10,-0.6,6.732222222222222,4.044444444444445,0.0,0.7905555555555555,06:12:36.816000,Neutral
22,704,2019-05-11,1.25,2.8641666666666663,2.4316666666666658,0.0,0.4438888888888889,06:23:55.498000,Excited
23,704,2019-05-12,0.5,3.640555555555556,1.0458333333333332,0.0,0.9916666666666668,08:09:57.975000,Neutral
24,704,2019-05-13,-1.6,5.275,2.6175,0.0,0.4616666666666666,08:09:51.306000,level1
25,704,2019-05-14,0.4166666666666667,4.954722222222221,1.88,0.0,0.0,06:03:45.681000,Neutral
26,705,2019-05-08,-1.4,5.2105555555555565,3.1219444444444435,0.0,0.1638888888888889,03:19:23.956000,level1
27,705,2019-05-09,-1.6,8.617222222222223,2.113055555555556,0.0,0.006666666666666667,11:15:02.895000,level1
28,705,2019-05-10,1.7272727272727273,6.9605555555555565,1.1541666666666668,0.0,0.0,04:54:53.702000,Excited
29,705,2019-05-11,2.642857142857143,9.943888888888893,1.3811111111111112,0.0,0.0,12:24:20.781000,Excited
30,705,2019-05-12,-1.7857142857142858,9.863055555555563,1.1519444444444444,0.0,0.0,12:42:18.953000,level1
31,705,2019-05-13,-2.5454545454545454,1.929722222222222,1.6683333333333332,0.3441666666666667,0.0,05:32:27.176000,level1
32,705,2019-05-14,-2.2,3.4044444444444446,2.498055555555556,0.0,0.0,09:51:42.269000,level1
33,705,2019-05-15,-3.0,0.0,0.0,0.0,0.0,07:04:07.113000,level2
34,706,2019-05-09,1.5,4.650833333333339,2.316388888888889,0.021944444444444444,0.3636111111111111,06:46:01.613000,Excited
35,706,2019-05-10,2.0,1.0441666666666665,0.4213888888888889,0.013611111111111112,0.26055555555555554,06:23:11.092000,Excited
36,706,2019-05-14,2.2,4.664722222222228,1.4461111111111111,0.022222222222222227,0.6427777777777777,06:25:28.365000,Excited
37,707,2019-05-08,2.0,3.638888888888889,0.7366666666666667,0.0,0.0,03:13:25.202000,Excited
38,707,2019-05-09,1.7272727272727273,4.21527777777778,1.4575,0.0,0.0,11:13:23.769000,Excited
39,707,2019-05-10,3.4545454545454546,4.889722222222222,1.4261111111111109,0.0,0.0,12:13:24.733000,Excited
40,707,2019-05-11,1.4545454545454546,9.261111111111108,0.019722222222222214,0.0,0.0,11:41:09.973000,Excited
41,707,2019-05-12,0.2222222222222222,2.6752777777777803,1.1097222222222225,0.0,0.0,14:17:51.222000,Neutral
42,707,2019-05-13,0.3636363636363637,2.155277777777778,1.2652777777777782,0.0,0.0,16:28:56.056000,Neutral
43,707,2019-05-14,1.6666666666666667,2.1272222222222217,0.7816666666666667,0.0,0.0,19:26:54.359000,Excited
44,708,2019-05-09,-1.5384615384615383,2.996111111111112,1.2241666666666666,0.0,0.11277777777777775,12:50:48.762000,level1
45,708,2019-05-10,2.6,6.8077777777777815,2.1472222222222217,0.11916666666666667,0.09833333333333333,14:06:22.484000,Excited
